id_tratta;id_volo;partenza;nazione_partenza;destinazione;nazione_destinazione;data;ora;compagnia_aerea;posti_tot;posti_disponibili;posti_occupati;prezzo_biglietto
1;1;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Francoforte sul Meno (FRA);Germania;2025-04-23;10:00;Lufthansa;120;59;61;241.00
1;2;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Francoforte sul Meno (FRA);Germania;2025-04-23;14:00;Lufthansa;120;64;56;294.00
1;3;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Francoforte sul Meno (FRA);Germania;2025-04-23;18:00;Lufthansa;120;55;65;299.00
2;1;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Parigi-Charles de Gaulle (CDG);Francia;2025-04-24;11:00;Air France;120;58;62;285.00
2;2;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Parigi-Charles de Gaulle (CDG);Francia;2025-04-24;12:00;Air France;120;61;59;214.00
2;3;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Parigi-Charles de Gaulle (CDG);Francia;2025-04-24;16:00;Air France;120;62;58;218.00
3;1;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Madrid-Barajas (MAD);Spagna;2025-04-25;12:00;Iberia;120;65;55;216.00
3;2;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Madrid-Barajas (MAD);Spagna;2025-04-25;13:00;Iberia;120;61;59;231.00
3;3;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Madrid-Barajas (MAD);Spagna;2025-04-25;17:00;Iberia;120;59;61;234.00
4;1;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Londra-Heathrow (LHR);Regno Unito;2025-04-26;13:00;British Airways;120;63;57;270.00
4;2;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Londra-Heathrow (LHR);Regno Unito;2025-04-26;14:00;British Airways;120;58;62;249.00
4;3;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Londra-Heathrow (LHR);Regno Unito;2025-04-26;18:00;British Airways;120;59;61;275.00
5;1;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Amsterdam-Schiphol (AMS);Paesi Bassi;2025-04-27;14:00;KLM;120;54;66;277.00
5;2;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Amsterdam-Schiphol (AMS);Paesi Bassi;2025-04-27;15:00;KLM;120;55;65;231.00
5;3;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Amsterdam-Schiphol (AMS);Paesi Bassi;2025-04-27;19:00;KLM;120;57;63;269.00
6;1;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Zurigo (ZRH);Svizzera;2025-04-28;15:00;Swiss International Air Lines;120;62;58;247.00
6;2;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Zurigo (ZRH);Svizzera;2025-04-28;16:00;Swiss International Air Lines;120;72;48;213.00
6;3;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Zurigo (ZRH);Svizzera;2025-04-28;20:00;Swiss International Air Lines;120;61;59;290.00
7;1;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Bruxelles (BRU);Belgio;2025-04-29;16:00;Brussels Airlines;120;58;62;247.00
7;2;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Bruxelles (BRU);Belgio;2025-04-29;17:00;Brussels Airlines;120;55;65;259.00
7;3;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Bruxelles (BRU);Belgio;2025-04-29;21:00;Brussels Airlines;120;64;56;281.00
8;1;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Stoccolma-Arlanda (ARN);Svezia;2025-04-30;17:00;SAS Scandinavian Airlines;120;57;63;278.00
8;2;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Stoccolma-Arlanda (ARN);Svezia;2025-04-30;18:00;SAS Scandinavian Airlines;120;68;52;297.00
8;3;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Stoccolma-Arlanda (ARN);Svezia;2025-04-30;22:00;SAS Scandinavian Airlines;120;59;61;240.00
9;1;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Vienna (VIE);Austria;2025-05-01;18:00;Austrian Airlines;120;58;62;293.00
9;2;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Vienna (VIE);Austria;2025-05-01;19:00;Austrian Airlines;120;53;67;265.00
9;3;Aeroporto di Roma-Fiumicino (FCO);Italia;Aeroporto di Vienna (VIE);Austria;2025-05-01;23:00;Austrian Airlines;120;64;56;213.00
10;1;Aeroporto di Francoforte sul Meno (FRA);Germania;Aeroporto di Roma-Fiumicino (FCO);Italia;2025-05-02;10:30;Lufthansa;120;54;66;211.00
10;2;Aeroporto di Francoforte sul Meno (FRA);Germania;Aeroporto di Roma-Fiumicino (FCO);Italia;2025-05-02;14:30;Lufthansa;120;68;52;289.00
10;3;Aeroporto di Francoforte sul Meno (FRA);Germania;Aeroporto di Roma-Fiumicino (FCO);Italia;2025-05-02;18:30;Lufthansa;120;52;68;214.00
11;1;Aeroporto di Francoforte sul Meno (FRA);Germania;Aeroporto di Parigi-Charles de Gaulle (CDG);Francia;2025-05-03;11:30;Air France;120;48;72;254.00
11;2;Aeroporto di Francoforte sul Meno (FRA);Germania;Aeroporto di Parigi-Charles de Gaulle (CDG);Francia;2025-05-03;12:30;Air France;120;57;63;250.00
11;3;Aeroporto di Francoforte sul Meno (FRA);Germania;Aeroporto di Parigi-Charles de Gaulle (CDG);Francia;2025-05-03;16:30;Air France;120;59;61;298.00
12;1;Aeroporto di Francoforte sul Meno (FRA);Germania;Aeroporto di Madrid-Barajas (MAD);Spagna;2025-05-04;12:30;Iberia;120;65;55;206.00
